group	x	ymin	ymax
2	8	93.7719298245614	95.3508771929824
2	10	92.1052631578948	94.8245614035088
2	12	85.8771929824561	95.9210526315789
2	14	87.1929824561404	96.140350877193
2	16	94.2543859649123	95.6578947368421
2	18	85	93.9912280701754
2	20	92.6754385964913	94.9561403508772
2	25	95	96.4035087719298
2	30	96.140350877193	97.5438596491228
2	31.4	95.9649122807018	96.8421052631579
2	31.4	96.140350877193	97.5438596491228
2	31.4	95.0877192982456	97.5438596491228
2	31.4	96.3157894736842	97.1929824561404
2	31.4	95.9649122807018	97.1929824561404
2	31.4	96.6666666666667	97.8947368421053
1	2	73.75	82.1052631578947
1	4	85.4385964912281	91.9298245614035
1	6	91.9298245614035	93.1578947368421
1	8	92.1052631578947	93.1578947368421
1	10	92.1052631578947	93.1578947368421
1	12	92.9824561403509	94.2105263157895
1	14	92.9824561403509	94.2105263157895
1	16	92.1052631578947	94.3859649122807
1	18	91.9298245614035	93.1578947368421
1	20	91.9298245614035	93.1578947368421
1	25	92.6315789473684	93.1578947368421
1	30	92.6315789473684	93.1578947368421
1	31.4	92.6315789473684	94.2105263157895
1	31.4	92.6315789473684	94.2105263157895
1	31.4	92.6315789473684	94.2105263157895
1	31.4	92.6315789473684	94.2105263157895
1	31.4	92.6315789473684	93.1578947368421
1	31.4	92.6315789473684	93.3333333333333
3	6	90.7894736842105	97.2368421052632
3	8	90.7017543859649	96.4912280701754
3	10	94.3859649122807	96.4912280701754
3	12	94.3859649122807	97.1929824561404
3	14	94.3859649122807	97.1929824561404
3	16	94.3859649122807	97.1929824561404
3	18	91.5789473684211	97.1929824561404
3	20	91.7543859649123	97.1929824561404
3	25	92.6315789473684	97.1929824561404
3	30	95.6140350877193	97.0175438596491
3	31.4	95.9649122807018	97.0175438596491
3	31.4	95.9649122807018	97.0175438596491
3	31.4	95.9649122807018	97.0175438596491
3	31.4	95.9649122807018	97.0175438596491
3	31.4	96.140350877193	96.8421052631579
3	31.4	96.140350877193	96.8421052631579
4	6	86.4035087719298	96.4912280701754
4	8	95.6140350877193	96.6666666666667
4	10	95.6140350877193	96.6666666666667
4	12	90.5263157894737	96.6666666666667
4	14	94.3859649122807	96.8421052631579
4	16	94.3859649122807	97.0175438596491
4	18	92.6315789473684	97.5438596491228
4	20	95.0877192982456	97.5438596491228
4	25	95.0877192982456	97.5438596491228
4	30	96.140350877193	98.0701754385965
4	31.4	96.140350877193	98.2456140350877
4	31.4	96.140350877193	98.421052631579
4	31.4	96.140350877193	98.2456140350877
4	31.4	96.4912280701754	98.2456140350877
4	31.4	96.3157894736842	96.8421052631579
4	31.4	96.3157894736842	97.8947368421053
5	2	92.280701754386	92.280701754386
5	4	92.280701754386	92.280701754386
5	6	92.280701754386	92.280701754386
5	8	92.280701754386	92.280701754386
5	10	92.280701754386	92.280701754386
5	12	92.280701754386	92.280701754386
5	14	92.280701754386	92.280701754386
5	16	92.280701754386	92.280701754386
5	18	92.280701754386	92.280701754386
5	20	92.280701754386	92.280701754386
5	25	92.280701754386	92.280701754386
5	30	92.280701754386	92.280701754386
5	31.4	92.280701754386	92.280701754386
5	31.4	92.280701754386	92.280701754386
5	31.4	92.280701754386	92.280701754386
5	31.4	92.280701754386	92.280701754386
5	31.4	92.280701754386	92.280701754386
5	31.4	92.280701754386	92.280701754386
2	4	89.4736842105263	89.4736842105263
2	6	90.2631578947369	92.5438596491228
3	2	90.9649122807017	95
3	4	90.9649122807017	95
4	2	82.3245614035088	89.0789473684211
4	4	91.0087719298246	94.780701754386
