group	x	ymin	ymax	showSelected2
2	4	80.2083333333333	92.7083333333333	GP_Erf_EP_testtailored
2	5	81.25	92.7083333333333	GP_Erf_EP_testtailored
2	6	92.7083333333333	93.75	GP_Erf_EP_testtailored
2	7	80.2083333333333	95.8333333333333	GP_Erf_EP_testtailored
2	8	93.75	96.875	GP_Erf_EP_testtailored
2	9	95.8333333333333	96.875	GP_Erf_EP_testtailored
2	10	95.8333333333333	96.875	GP_Erf_EP_testtailored
2	11	94.7916666666667	96.875	GP_Erf_EP_testtailored
2	12	92.7083333333333	96.875	GP_Erf_EP_testtailored
2	13	94.7916666666667	96.875	GP_Erf_EP_testtailored
2	14	95.8333333333333	96.875	GP_Erf_EP_testtailored
2	15	95.8333333333333	96.875	GP_Erf_EP_testtailored
2	16	96.875	96.875	GP_Erf_EP_testtailored
2	17	96.875	96.875	GP_Erf_EP_testtailored
2	18	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	19	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	20	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	21	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	22	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	23	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	24	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	25	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	26	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	27	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	28	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	29	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	30	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	97.9166666666667	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	97.9166666666667	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	97.9166666666667	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	96.875	GP_Erf_EP_testtailored
2	31.4	96.875	96.875	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	96.875	GP_Erf_EP_testtailored
2	31.4	96.875	96.875	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	96.875	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	96.875	GP_Erf_EP_testtailored
2	31.4	96.875	96.875	GP_Erf_EP_testtailored
2	31.4	96.875	96.875	GP_Erf_EP_testtailored
2	31.4	96.875	97.9166666666667	GP_Erf_EP_testtailored
2	31.4	96.875	96.875	GP_Erf_EP_testtailored
3	4	92.7083333333333	96.875	GP_Erf_EP_testtailored
3	6	73.75	73.75	GP_Erf_EP_testtailored
3	8	73.75	94.7916666666667	GP_Erf_EP_testtailored
