group	x	y
1	4	92.7083333333333
1	5	92.7083333333333
1	6	93.75
1	7	83.3333333333333
1	8	94.7916666666667
1	9	95.8333333333333
1	10	95.8333333333333
1	11	95.8333333333333
1	12	95.8333333333333
1	13	96.875
1	14	96.875
1	15	96.875
1	16	96.875
1	17	96.875
1	18	96.875
1	19	96.875
1	20	97.9166666666667
1	21	97.9166666666667
1	22	97.9166666666667
1	23	97.9166666666667
1	24	97.9166666666667
1	25	96.875
1	26	97.9166666666667
1	27	97.9166666666667
1	28	96.875
1	29	97.9166666666667
1	30	97.9166666666667
1	31	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	96.875
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	96.875
1	31.4	96.875
1	31.4	97.9166666666667
1	31.4	96.875
1	31.4	96.875
1	31.4	96.875
1	31.4	96.875
1	31.4	96.875
1	31.4	97.9166666666667
1	31.4	97.9166666666667
1	31.4	96.875
1	31.4	96.875
1	31.4	96.875
1	31.4	96.875
1	31.4	96.875
2	4	92.7083333333333
2	5	92.7083333333333
2	6	96.875
2	7	96.875
2	8	96.875
2	9	96.875
2	10	96.875
2	11	96.875
2	12	96.875
2	13	96.875
2	14	96.875
2	15	96.875
2	16	96.875
2	17	96.875
2	18	96.875
2	19	96.875
2	20	96.875
2	21	96.875
2	22	96.875
2	23	96.875
2	24	96.875
2	25	96.875
2	26	96.875
2	27	96.875
2	28	96.875
2	29	96.875
2	30	96.875
2	31	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
2	31.4	96.875
3	4	73.75
3	5	73.75
3	6	86.4583333333333
3	7	89.5833333333333
3	8	94.7916666666667
3	9	83.3333333333333
3	10	73.75
3	11	95.8333333333333
3	12	92.7083333333333
3	13	89.5833333333333
3	14	92.7083333333333
3	15	87.5
3	16	92.7083333333333
3	17	92.7083333333333
3	18	92.7083333333333
3	19	92.7083333333333
3	20	82.2916666666667
3	21	92.7083333333333
3	22	92.7083333333333
3	23	91.6666666666667
3	24	91.6666666666667
3	25	92.7083333333333
3	26	89.5833333333333
3	27	90.625
3	28	90.625
3	29	90.625
3	30	90.625
3	31	90.625
3	31.4	91.6666666666667
3	31.4	93.75
3	31.4	92.7083333333333
3	31.4	89.5833333333333
3	31.4	89.5833333333333
3	31.4	86.4583333333333
3	31.4	89.5833333333333
3	31.4	89.5833333333333
3	31.4	87.5
3	31.4	85.4166666666667
3	31.4	86.4583333333333
3	31.4	87.5
3	31.4	85.4166666666667
3	31.4	85.4166666666667
3	31.4	88.5416666666667
3	31.4	86.4583333333333
3	31.4	85.4166666666667
3	31.4	83.3333333333333
3	31.4	91.6666666666667
3	31.4	91.6666666666667
3	31.4	92.7083333333333
3	31.4	90.625
3	31.4	89.5833333333333
3	31.4	87.5
3	31.4	86.4583333333333
3	31.4	84.375
3	31.4	92.7083333333333
3	31.4	89.5833333333333
3	31.4	92.7083333333333
4	4	92.7083333333333
4	5	92.7083333333333
4	6	92.7083333333333
4	7	93.75
4	8	93.75
4	9	92.7083333333333
4	10	93.75
4	11	95.8333333333333
4	12	94.7916666666667
4	13	95.8333333333333
4	14	95.8333333333333
4	15	95.8333333333333
4	16	95.8333333333333
4	17	95.8333333333333
4	18	95.8333333333333
4	19	95.8333333333333
4	20	95.8333333333333
4	21	94.7916666666667
4	22	95.8333333333333
4	23	95.8333333333333
4	24	95.8333333333333
4	25	96.875
4	26	96.875
4	27	96.875
4	28	96.875
4	29	96.875
4	30	96.875
4	31	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	97.9166666666667
4	31.4	96.875
4	31.4	96.875
5	4	80.2083333333333
5	5	81.25
5	6	92.7083333333333
5	7	92.7083333333333
5	8	92.7083333333333
5	9	95.8333333333333
5	10	96.875
5	11	96.875
5	12	95.8333333333333
5	13	95.8333333333333
5	14	96.875
5	15	96.875
5	16	96.875
5	17	96.875
5	18	96.875
5	19	96.875
5	20	96.875
5	21	96.875
5	22	96.875
5	23	96.875
5	24	96.875
5	25	97.9166666666667
5	26	97.9166666666667
5	27	97.9166666666667
5	28	97.9166666666667
5	29	97.9166666666667
5	30	97.9166666666667
5	31	96.875
5	31.4	96.875
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	96.875
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	96.875
5	31.4	96.875
5	31.4	96.875
5	31.4	96.875
5	31.4	96.875
5	31.4	96.875
5	31.4	96.875
5	31.4	96.875
5	31.4	96.875
5	31.4	96.875
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	97.9166666666667
5	31.4	96.875
5	31.4	96.875
5	31.4	96.875
5	31.4	97.9166666666667
6	4	73.75
6	5	96.875
6	6	93.75
6	7	95.8333333333333
6	8	92.7083333333333
6	9	93.75
6	10	95.8333333333333
6	11	94.7916666666667
6	12	94.7916666666667
6	13	95.8333333333333
6	14	94.7916666666667
6	15	94.7916666666667
6	16	94.7916666666667
6	17	95.8333333333333
6	18	96.875
6	19	96.875
6	20	96.875
6	21	96.875
6	22	96.875
6	23	96.875
6	24	96.875
6	25	96.875
6	26	96.875
6	27	96.875
6	28	96.875
6	29	96.875
6	30	96.875
6	31	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	92.7083333333333
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	94.7916666666667
6	31.4	94.7916666666667
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	95.8333333333333
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
6	31.4	96.875
