group	x	y	showSelected1
1	2	73.75	GP_Erf_EP_testtailored
1	2	73.75	GP_Erf_EP_testtailored_2
1	2	73.75	GP_LIN
1	2	73.75	GP_logistic_EP
1	2	73.75	GP_logistic_EP_testtailored
1	2	73.75	GP_matlab
1	4	73.75	GP_Erf_EP_testtailored
1	4	73.75	GP_Erf_EP_testtailored_2
1	4	73.75	GP_LIN
1	4	73.75	GP_logistic_EP
1	4	73.75	GP_logistic_EP_testtailored
1	4	73.75	GP_matlab
1	6	73.75	GP_Erf_EP_testtailored
1	6	73.75	GP_Erf_EP_testtailored_2
1	6	86.4583333333333	GP_LIN
1	6	73.75	GP_logistic_EP
1	6	73.75	GP_logistic_EP_testtailored
1	6	73.9583333333334	GP_matlab
1	8	73.75	GP_Erf_EP_testtailored
1	8	73.75	GP_Erf_EP_testtailored_2
1	8	93.75	GP_LIN
1	8	73.75	GP_logistic_EP
1	8	73.75	GP_logistic_EP_testtailored
1	8	80.2083333333333	GP_matlab
1	10	73.75	GP_Erf_EP_testtailored
1	10	73.75	GP_Erf_EP_testtailored_2
1	10	93.75	GP_LIN
1	10	73.9583333333334	GP_logistic_EP
1	10	73.75	GP_logistic_EP_testtailored
1	10	73.9583333333334	GP_matlab
1	12	73.75	GP_Erf_EP_testtailored
1	12	73.75	GP_Erf_EP_testtailored_2
1	12	93.75	GP_LIN
1	12	78.125	GP_logistic_EP
1	12	73.75	GP_logistic_EP_testtailored
1	12	73.9583333333334	GP_matlab
1	14	73.75	GP_Erf_EP_testtailored
1	14	73.75	GP_Erf_EP_testtailored_2
1	14	93.75	GP_LIN
1	14	81.25	GP_logistic_EP
1	14	73.75	GP_logistic_EP_testtailored
1	14	79.1666666666667	GP_matlab
1	16	73.75	GP_Erf_EP_testtailored
1	16	73.75	GP_Erf_EP_testtailored_2
1	16	93.75	GP_LIN
1	16	81.25	GP_logistic_EP
1	16	73.75	GP_logistic_EP_testtailored
1	16	79.1666666666667	GP_matlab
1	18	73.75	GP_Erf_EP_testtailored
1	18	73.75	GP_Erf_EP_testtailored_2
1	18	93.75	GP_LIN
1	18	81.25	GP_logistic_EP
1	18	73.75	GP_logistic_EP_testtailored
1	18	81.25	GP_matlab
1	20	73.75	GP_Erf_EP_testtailored
1	20	73.75	GP_Erf_EP_testtailored_2
1	20	93.75	GP_LIN
1	20	81.25	GP_logistic_EP
1	20	73.75	GP_logistic_EP_testtailored
1	20	81.25	GP_matlab
1	25	73.75	GP_Erf_EP_testtailored
1	25	73.75	GP_Erf_EP_testtailored_2
1	25	93.75	GP_LIN
1	25	79.1666666666667	GP_logistic_EP
1	25	73.75	GP_logistic_EP_testtailored
1	25	81.25	GP_matlab
1	30	73.75	GP_Erf_EP_testtailored
1	30	73.75	GP_Erf_EP_testtailored_2
1	30	93.75	GP_LIN
1	30	81.25	GP_logistic_EP
1	30	73.75	GP_logistic_EP_testtailored
1	30	81.25	GP_matlab
1	31.4	73.9583333333334	GP_Erf_EP_testtailored
1	31.4	73.9583333333334	GP_Erf_EP_testtailored_2
1	31.4	93.75	GP_LIN
1	31.4	81.25	GP_logistic_EP
1	31.4	73.75	GP_logistic_EP_testtailored
1	31.4	81.25	GP_matlab
1	31.4	79.1666666666667	GP_Erf_EP_testtailored
1	31.4	76.0416666666667	GP_Erf_EP_testtailored_2
1	31.4	93.75	GP_LIN
1	31.4	81.25	GP_logistic_EP
1	31.4	73.9583333333334	GP_logistic_EP_testtailored
1	31.4	81.25	GP_matlab
1	31.4	81.25	GP_Erf_EP_testtailored
1	31.4	81.25	GP_Erf_EP_testtailored_2
1	31.4	93.75	GP_LIN
1	31.4	81.25	GP_logistic_EP
1	31.4	73.9583333333334	GP_logistic_EP_testtailored
1	31.4	81.25	GP_matlab
1	31.4	81.25	GP_Erf_EP_testtailored
1	31.4	81.25	GP_Erf_EP_testtailored_2
1	31.4	93.75	GP_LIN
1	31.4	81.25	GP_logistic_EP
1	31.4	79.1666666666667	GP_logistic_EP_testtailored
1	31.4	81.25	GP_matlab
1	31.4	81.25	GP_Erf_EP_testtailored
1	31.4	81.25	GP_Erf_EP_testtailored_2
1	31.4	93.75	GP_LIN
1	31.4	81.25	GP_logistic_EP
1	31.4	81.25	GP_logistic_EP_testtailored
1	31.4	81.25	GP_matlab
1	31.4	81.25	GP_Erf_EP_testtailored
1	31.4	81.25	GP_Erf_EP_testtailored_2
1	31.4	93.75	GP_LIN
1	31.4	80.2083333333333	GP_logistic_EP
1	31.4	81.25	GP_logistic_EP_testtailored
1	31.4	81.25	GP_matlab
2	4	92.7083333333333	GP_Erf_EP_testtailored
2	4	92.7083333333333	GP_Erf_EP_testtailored_2
2	4	73.75	GP_LIN
2	4	92.7083333333333	GP_logistic_EP
2	4	80.2083333333333	GP_logistic_EP_testtailored
2	4	73.75	GP_matlab
2	5	92.7083333333333	GP_Erf_EP_testtailored
2	5	92.7083333333333	GP_Erf_EP_testtailored_2
2	5	73.75	GP_LIN
2	5	92.7083333333333	GP_logistic_EP
2	5	81.25	GP_logistic_EP_testtailored
2	5	96.875	GP_matlab
2	6	93.75	GP_Erf_EP_testtailored
2	6	96.875	GP_Erf_EP_testtailored_2
2	6	86.4583333333333	GP_LIN
2	6	92.7083333333333	GP_logistic_EP
2	6	92.7083333333333	GP_logistic_EP_testtailored
2	6	93.75	GP_matlab
2	7	83.3333333333333	GP_Erf_EP_testtailored
2	7	96.875	GP_Erf_EP_testtailored_2
2	7	89.5833333333333	GP_LIN
2	7	93.75	GP_logistic_EP
2	7	92.7083333333333	GP_logistic_EP_testtailored
2	7	95.8333333333333	GP_matlab
