group	x	y
1	2	73.75
1	4	73.75
1	6	73.75
1	8	73.75
1	10	73.75
1	12	73.75
1	14	73.75
1	16	73.75
1	18	73.75
1	20	73.75
1	25	73.75
1	30	73.75
1	31.4	73.75
1	31.4	73.9583333333334
1	31.4	73.9583333333334
1	31.4	78.125
1	31.4	75
1	31.4	73.9583333333334
2	6	73.75
2	8	73.75
2	10	73.75
2	12	73.75
2	14	73.75
2	16	73.75
2	18	73.75
2	20	87.5
2	25	86.4583333333333
2	30	85.4166666666667
2	31.4	92.7083333333333
2	31.4	92.7083333333333
2	31.4	96.875
2	31.4	94.7916666666667
2	31.4	95.8333333333333
2	31.4	96.875
3	2	73.75
3	4	73.75
3	6	73.75
3	8	73.75
3	10	73.75
3	12	75
3	14	76.0416666666667
3	16	73.75
3	18	93.75
3	20	93.75
3	25	94.7916666666667
3	30	96.875
3	31.4	96.875
3	31.4	96.875
3	31.4	96.875
3	31.4	96.875
3	31.4	96.875
3	31.4	96.875
4	2	73.75
4	4	73.75
4	6	73.75
4	8	75.5208333333334
4	10	74.4791666666667
4	12	78.125
4	14	79.1666666666667
4	16	93.75
4	18	92.7083333333333
4	20	92.7083333333333
4	25	92.7083333333333
4	30	92.7083333333333
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	96.875
4	31.4	95.8333333333333
5	2	82.2916666666667
5	4	82.2916666666667
5	6	82.2916666666667
5	8	82.2916666666667
5	10	82.2916666666667
5	12	82.2916666666667
5	14	82.2916666666667
5	16	82.2916666666667
5	18	82.2916666666667
5	20	82.2916666666667
5	25	82.2916666666667
5	30	82.2916666666667
5	31.4	82.2916666666667
5	31.4	82.2916666666667
5	31.4	82.2916666666667
5	31.4	82.2916666666667
5	31.4	82.2916666666667
5	31.4	82.2916666666667
