group	x	y
1	4	92.7083333333333
1	5	92.7083333333333
1	6	93.75
1	7	83.3333333333333
1	8	94.7916666666667
1	9	95.8333333333333
1	10	95.8333333333333
1	11	95.8333333333333
1	12	95.8333333333333
1	13	96.875
1	14	96.875
1	15	96.875
1	16	96.875
1	17	96.875
1	18	96.875
1	19	96.875
1	20	97.9166666666667
1	21	97.9166666666667
1	22	97.9166666666667
1	23	97.9166666666667
1	24	97.9166666666667
1	25	96.875
1	26	97.9166666666667
1	27	97.9166666666667
1	28	96.875
1	29	97.9166666666667
1	30	97.9166666666667
1	31	97.9166666666667
1	32	97.9166666666667
1	33	97.9166666666667
1	34	97.9166666666667
1	35	97.9166666666667
1	36	97.9166666666667
1	37	96.875
1	38	97.9166666666667
1	39	97.9166666666667
1	40	97.9166666666667
1	41	97.9166666666667
1	42	97.9166666666667
1	43	97.9166666666667
1	44	97.9166666666667
1	45	97.9166666666667
1	46	96.875
1	47	96.875
1	48	97.9166666666667
1	49	96.875
1	50	96.875
1	51	96.875
1	52	96.875
1	53	96.875
1	54	97.9166666666667
1	55	97.9166666666667
1	56	96.875
1	57	96.875
1	58	96.875
1	59	96.875
1	60	96.875
2	4	92.7083333333333
2	5	92.7083333333333
2	6	96.875
2	7	96.875
2	8	96.875
2	9	96.875
2	10	96.875
2	11	96.875
2	12	96.875
2	13	96.875
2	14	96.875
2	15	96.875
2	16	96.875
2	17	96.875
2	18	96.875
2	19	96.875
2	20	96.875
2	21	96.875
2	22	96.875
2	23	96.875
2	24	96.875
2	25	96.875
2	26	96.875
2	27	96.875
2	28	96.875
2	29	96.875
2	30	96.875
2	31	96.875
2	32	96.875
2	33	96.875
2	34	96.875
2	35	96.875
2	36	96.875
2	37	96.875
2	38	96.875
2	39	96.875
2	40	96.875
2	41	96.875
2	42	96.875
2	43	96.875
2	44	96.875
2	45	96.875
2	46	96.875
2	47	96.875
2	48	96.875
2	49	96.875
2	50	96.875
2	51	96.875
2	52	96.875
2	53	96.875
2	54	96.875
2	55	96.875
2	56	96.875
2	57	96.875
2	58	96.875
2	59	96.875
2	60	96.875
3	4	17.7083333333333
3	5	68.75
3	6	86.4583333333333
3	7	89.5833333333333
3	8	94.7916666666667
3	9	83.3333333333333
3	10	71.875
3	11	95.8333333333333
3	12	92.7083333333333
3	13	89.5833333333333
3	14	92.7083333333333
3	15	87.5
3	16	92.7083333333333
3	17	92.7083333333333
3	18	92.7083333333333
3	19	92.7083333333333
3	20	82.2916666666667
3	21	92.7083333333333
3	22	92.7083333333333
3	23	91.6666666666667
3	24	91.6666666666667
3	25	92.7083333333333
3	26	89.5833333333333
3	27	90.625
3	28	90.625
3	29	90.625
3	30	90.625
3	31	90.625
3	32	91.6666666666667
3	33	93.75
3	34	92.7083333333333
3	35	89.5833333333333
3	36	89.5833333333333
3	37	86.4583333333333
3	38	89.5833333333333
3	39	89.5833333333333
3	40	87.5
3	41	85.4166666666667
3	42	86.4583333333333
3	43	87.5
3	44	85.4166666666667
3	45	85.4166666666667
3	46	88.5416666666667
3	47	86.4583333333333
3	48	85.4166666666667
3	49	83.3333333333333
3	50	91.6666666666667
3	51	91.6666666666667
3	52	92.7083333333333
3	53	90.625
3	54	89.5833333333333
3	55	87.5
3	56	86.4583333333333
3	57	84.375
3	58	92.7083333333333
3	59	89.5833333333333
3	60	92.7083333333333
4	4	92.7083333333333
4	5	92.7083333333333
4	6	92.7083333333333
4	7	93.75
4	8	93.75
4	9	92.7083333333333
4	10	93.75
4	11	95.8333333333333
4	12	94.7916666666667
4	13	95.8333333333333
4	14	95.8333333333333
4	15	95.8333333333333
4	16	95.8333333333333
4	17	95.8333333333333
4	18	95.8333333333333
4	19	95.8333333333333
4	20	95.8333333333333
4	21	94.7916666666667
4	22	95.8333333333333
4	23	95.8333333333333
4	24	95.8333333333333
4	25	96.875
4	26	96.875
4	27	96.875
4	28	96.875
4	29	96.875
4	30	96.875
4	31	96.875
4	32	96.875
4	33	96.875
4	34	96.875
4	35	96.875
4	36	96.875
4	37	96.875
4	38	96.875
4	39	96.875
4	40	96.875
4	41	96.875
4	42	96.875
4	43	96.875
4	44	96.875
4	45	96.875
4	46	96.875
4	47	96.875
4	48	96.875
4	49	96.875
4	50	96.875
4	51	96.875
4	52	96.875
4	53	96.875
4	54	96.875
4	55	96.875
4	56	96.875
4	57	96.875
4	58	97.9166666666667
4	59	96.875
4	60	96.875
5	4	80.2083333333333
5	5	81.25
5	6	92.7083333333333
5	7	92.7083333333333
5	8	92.7083333333333
5	9	95.8333333333333
5	10	96.875
5	11	96.875
5	12	95.8333333333333
5	13	95.8333333333333
5	14	96.875
5	15	96.875
5	16	96.875
5	17	96.875
5	18	96.875
5	19	96.875
5	20	96.875
5	21	96.875
5	22	96.875
5	23	96.875
5	24	96.875
5	25	97.9166666666667
5	26	97.9166666666667
5	27	97.9166666666667
5	28	97.9166666666667
5	29	97.9166666666667
5	30	97.9166666666667
5	31	96.875
5	32	96.875
5	33	97.9166666666667
5	34	97.9166666666667
5	35	97.9166666666667
5	36	96.875
5	37	97.9166666666667
5	38	97.9166666666667
5	39	97.9166666666667
5	40	97.9166666666667
5	41	97.9166666666667
5	42	96.875
5	43	96.875
5	44	96.875
5	45	96.875
5	46	96.875
5	47	96.875
5	48	96.875
5	49	96.875
5	50	96.875
5	51	96.875
5	52	97.9166666666667
5	53	97.9166666666667
5	54	97.9166666666667
5	55	97.9166666666667
5	56	97.9166666666667
5	57	96.875
5	58	96.875
5	59	96.875
5	60	97.9166666666667
6	4	31.25
6	5	96.875
6	6	93.75
6	7	95.8333333333333
6	8	92.7083333333333
6	9	93.75
6	10	95.8333333333333
6	11	94.7916666666667
6	12	94.7916666666667
6	13	95.8333333333333
6	14	94.7916666666667
6	15	94.7916666666667
6	16	94.7916666666667
6	17	95.8333333333333
6	18	96.875
6	19	96.875
6	20	96.875
6	21	96.875
6	22	96.875
6	23	96.875
6	24	96.875
6	25	96.875
6	26	96.875
6	27	96.875
6	28	96.875
6	29	96.875
6	30	96.875
6	31	96.875
6	32	96.875
6	33	96.875
6	34	96.875
6	35	96.875
6	36	96.875
6	37	96.875
6	38	96.875
6	39	96.875
6	40	96.875
6	41	92.7083333333333
6	42	96.875
6	43	96.875
6	44	96.875
6	45	94.7916666666667
6	46	94.7916666666667
6	47	96.875
6	48	96.875
6	49	96.875
6	50	95.8333333333333
6	51	96.875
6	52	96.875
6	53	96.875
6	54	96.875
6	55	96.875
6	56	96.875
6	57	96.875
6	58	96.875
6	59	96.875
6	60	96.875
