group	x	y	showSelected1
2	31.4	73.75	GP_LIN
2	31.4	97.1929824561404	GP_SE
3	4	90.1754385964912	GP_LIN
3	4	90.1754385964912	GP_SE
3	6	93.1578947368421	GP_LIN
3	6	91.5789473684211	GP_SE
3	8	94.9122807017544	GP_LIN
3	8	95.6140350877193	GP_SE
3	10	94.9122807017544	GP_LIN
3	10	96.140350877193	GP_SE
3	12	95.0877192982456	GP_LIN
3	12	95.0877192982456	GP_SE
3	14	92.1052631578947	GP_LIN
3	14	96.4912280701754	GP_SE
3	16	91.9298245614035	GP_LIN
3	16	95.2631578947368	GP_SE
3	18	93.5087719298246	GP_LIN
3	18	96.6666666666667	GP_SE
3	20	92.9824561403509	GP_LIN
3	20	96.4912280701754	GP_SE
3	25	94.5614035087719	GP_LIN
3	25	95.4385964912281	GP_SE
3	30	92.6315789473684	GP_LIN
3	30	96.140350877193	GP_SE
3	31.4	95.6140350877193	GP_LIN
3	31.4	97.1929824561404	GP_SE
3	31.4	96.4912280701754	GP_LIN
3	31.4	97.0175438596491	GP_SE
3	31.4	95.9649122807018	GP_LIN
3	31.4	97.0175438596491	GP_SE
3	31.4	94.2105263157895	GP_LIN
3	31.4	97.0175438596491	GP_SE
3	31.4	96.6666666666667	GP_LIN
3	31.4	96.3157894736842	GP_SE
3	31.4	95.7894736842105	GP_LIN
3	31.4	97.5438596491228	GP_SE
4	2	91.4912280701754	GP_LIN
4	2	90.2631578947368	GP_SE
4	4	90.1754385964912	GP_LIN
4	4	90.1754385964912	GP_SE
4	6	95.7894736842105	GP_LIN
4	6	95.4385964912281	GP_SE
4	8	95.6140350877193	GP_LIN
4	8	94.2105263157895	GP_SE
4	10	95.6140350877193	GP_LIN
4	10	94.2105263157895	GP_SE
4	12	97.3684210526316	GP_LIN
4	12	94.2105263157895	GP_SE
4	14	97.3684210526316	GP_LIN
4	14	94.2105263157895	GP_SE
4	16	95.9649122807018	GP_LIN
4	16	94.9122807017544	GP_SE
4	18	94.0350877192983	GP_LIN
4	18	95.4385964912281	GP_SE
4	20	94.5614035087719	GP_LIN
4	20	95.4385964912281	GP_SE
4	25	95.2631578947368	GP_LIN
4	25	95.2631578947368	GP_SE
4	30	95.0877192982456	GP_LIN
4	30	96.6666666666667	GP_SE
4	31.4	94.9122807017544	GP_LIN
4	31.4	96.6666666666667	GP_SE
4	31.4	94.9122807017544	GP_LIN
4	31.4	97.1929824561404	GP_SE
4	31.4	95.0877192982456	GP_LIN
4	31.4	97.3684210526316	GP_SE
4	31.4	95.0877192982456	GP_LIN
4	31.4	97.0175438596491	GP_SE
4	31.4	95.0877192982456	GP_LIN
4	31.4	96.4912280701754	GP_SE
4	31.4	95.0877192982456	GP_LIN
4	31.4	96.4912280701754	GP_SE
5	2	88.9473684210526	GP_LIN
5	2	89.6491228070176	GP_SE
5	4	90.1754385964912	GP_LIN
5	4	90.1754385964912	GP_SE
