group	x	ymin	ymax	showSelected2
2	4	90.1754385964912	90.3508771929825	GP_LIN
2	5	95.0877192982456	96.6666666666667	GP_LIN
2	6	95.0877192982456	95.6140350877193	GP_LIN
2	7	95.0877192982456	95.9649122807018	GP_LIN
2	8	95.0877192982456	96.8421052631579	GP_LIN
2	9	95.0877192982456	95.9649122807018	GP_LIN
2	10	95.0877192982456	95.7894736842105	GP_LIN
2	11	95.2631578947368	95.4385964912281	GP_LIN
2	12	95.9649122807018	97.1929824561404	GP_LIN
2	13	95.7894736842105	97.1929824561404	GP_LIN
2	14	96.140350877193	97.0175438596491	GP_LIN
2	15	96.140350877193	97.0175438596491	GP_LIN
2	16	96.140350877193	97.0175438596491	GP_LIN
2	17	95.7894736842105	97.1929824561404	GP_LIN
2	18	95.6140350877193	97.0175438596491	GP_LIN
2	19	95.0877192982456	97.0175438596491	GP_LIN
2	20	94.3859649122807	97.3684210526316	GP_LIN
2	21	94.9122807017544	97.1929824561404	GP_LIN
2	22	94.9122807017544	97.1929824561404	GP_LIN
2	23	82.6315789473684	97.0175438596491	GP_LIN
2	24	87.5438596491228	97.0175438596491	GP_LIN
2	25	73.75	97.0175438596491	GP_LIN
2	26	73.75	97.1929824561404	GP_LIN
2	27	73.75	97.1929824561404	GP_LIN
2	28	73.75	96.8421052631579	GP_LIN
2	29	73.75	96.8421052631579	GP_LIN
2	30	73.75	97.0175438596491	GP_LIN
2	31	73.75	83.6842105263158	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	79.2982456140351	GP_LIN
2	31.4	73.75	75.2631578947369	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	84.5614035087719	GP_LIN
2	31.4	74.2105263157895	96.8421052631579	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	79.4736842105263	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	83.6842105263158	GP_LIN
2	31.4	73.75	83.6842105263158	GP_LIN
2	31.4	73.75	82.4561403508772	GP_LIN
2	31.4	73.75	79.1228070175439	GP_LIN
2	31.4	73.75	82.9824561403509	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	83.6842105263158	GP_LIN
2	31.4	73.75	83.6842105263158	GP_LIN
2	31.4	73.75	73.75	GP_LIN
2	31.4	73.75	83.1578947368421	GP_LIN
2	31.4	73.75	83.6842105263158	GP_LIN
2	31.4	73.75	83.6842105263158	GP_LIN
2	31.4	73.75	83.6842105263158	GP_LIN
2	31.4	73.75	83.6842105263158	GP_LIN
2	31.4	73.75	83.6842105263158	GP_LIN
3	4	90.1754385964912	91.2280701754386	GP_LIN
3	6	92.6315789473684	93.5087719298246	GP_LIN
3	8	89.1228070175439	95.6140350877193	GP_LIN
3	10	91.2280701754386	95.6140350877193	GP_LIN
3	12	94.9122807017544	95.2631578947368	GP_LIN
3	14	89.8245614035088	93.5087719298246	GP_LIN
3	16	89.6491228070176	93.6842105263158	GP_LIN
3	18	89.8245614035088	95.7894736842105	GP_LIN
3	20	91.7543859649123	97.0175438596491	GP_LIN
3	25	93.859649122807	95.7894736842105	GP_LIN
3	30	91.0526315789474	96.8421052631579	GP_LIN
3	31.4	94.7368421052632	96.8421052631579	GP_LIN
3	31.4	96.140350877193	97.1929824561404	GP_LIN
3	31.4	95.7894736842105	97.1929824561404	GP_LIN
3	31.4	92.8070175438596	95.6140350877193	GP_LIN
3	31.4	96.140350877193	96.6666666666667	GP_LIN
3	31.4	95.6140350877193	96.4912280701754	GP_LIN
1	2	91.4035087719298	93.1578947368421	GP_LIN
1	4	91.4035087719298	94.2105263157895	GP_LIN
1	6	87.8947368421053	90.8771929824561	GP_LIN
1	8	87.5438596491228	89.1228070175439	GP_LIN
1	10	87.5438596491228	88.5964912280702	GP_LIN
1	12	87.5438596491228	88.5964912280702	GP_LIN
1	14	87.719298245614	88.5964912280702	GP_LIN
1	16	87.719298245614	88.5964912280702	GP_LIN
1	18	87.719298245614	88.5964912280702	GP_LIN
1	20	87.719298245614	88.5964912280702	GP_LIN
1	25	88.2456140350877	88.5964912280702	GP_LIN
1	30	88.2456140350877	88.5964912280702	GP_LIN
1	31.4	87.8947368421053	88.5964912280702	GP_LIN
1	31.4	88.5964912280702	88.5964912280702	GP_LIN
1	31.4	87.8947368421053	88.5964912280702	GP_LIN
1	31.4	87.8947368421053	88.5964912280702	GP_LIN
1	31.4	87.8947368421053	88.5964912280702	GP_LIN
1	31.4	87.8947368421053	88.5964912280702	GP_LIN
4	4	90.1754385964912	95.7894736842105	GP_LIN
4	6	94.9122807017544	96.3157894736842	GP_LIN
4	8	94.5614035087719	96.140350877193	GP_LIN
4	10	94.7368421052632	96.140350877193	GP_LIN
4	12	97.0175438596491	97.719298245614	GP_LIN
4	14	96.140350877193	97.719298245614	GP_LIN
4	16	94.9122807017544	96.8421052631579	GP_LIN
4	18	93.6842105263158	94.3859649122807	GP_LIN
4	20	94.0350877192983	96.140350877193	GP_LIN
4	25	95.0877192982456	95.6140350877193	GP_LIN
4	30	94.2105263157895	95.2631578947368	GP_LIN
4	31.4	94.2105263157895	95.2631578947368	GP_LIN
4	31.4	94.2105263157895	95.4385964912281	GP_LIN
4	31.4	94.2105263157895	95.4385964912281	GP_LIN
4	31.4	94.2105263157895	95.4385964912281	GP_LIN
